Electoral wards and divisions Code,Electoral wards and divisions,General health (6 categories) Code,General health (6 categories),Observation
E05011235,Barkingside,2,Good health,5452
E05011235,Barkingside,3,Fair health,1699
E05011235,Barkingside,4,Bad health,481
E05011235,Barkingside,5,Very bad health,130
E05011236,Bridge (Redbridge),-8,Does not apply,0
E05011236,Bridge (Redbridge),1,Very good health,6938
E05011236,Bridge (Redbridge),2,Good health,4584
E05011236,Bridge (Redbridge),3,Fair health,1327
E05011236,Bridge (Redbridge),4,Bad health,410
E05011236,Bridge (Redbridge),5,Very bad health,133
E05011237,Chadwell,-8,Does not apply,0
E05011237,Chadwell,1,Very good health,8468
E05011237,Chadwell,2,Good health,5674
E05011237,Chadwell,3,Fair health,1754
E05011237,Chadwell,4,Bad health,496
E05011237,Chadwell,5,Very bad health,137
E05011238,Churchfields,-8,Does not apply,0
E05011238,Churchfields,1,Very good health,8679
E05011238,Churchfields,2,Good health,4909
E05011238,Churchfields,3,Fair health,1539
E05011238,Churchfields,4,Bad health,454
E05011238,Churchfields,5,Very bad health,129
E05011239,Clayhall,-8,Does not apply,0
E05011239,Clayhall,1,Very good health,7112
E05011239,Clayhall,2,Good health,5166
E05011239,Clayhall,3,Fair health,1617
E05011239,Clayhall,4,Bad health,392
E05011239,Clayhall,5,Very bad health,131
E05011240,Clementswood,-8,Does not apply,0
E05011240,Clementswood,1,Very good health,6862
E05011240,Clementswood,2,Good health,4483
E05011240,Clementswood,3,Fair health,1531
E05011240,Clementswood,4,Bad health,469
E05011240,Clementswood,5,Very bad health,160
E05011241,Cranbrook (Redbridge),-8,Does not apply,0
E05011241,Cranbrook (Redbridge),1,Very good health,6479
E05011241,Cranbrook (Redbridge),2,Good health,4689
E05011241,Cranbrook (Redbridge),3,Fair health,1535
E05011241,Cranbrook (Redbridge),4,Bad health,407
E05011241,Cranbrook (Redbridge),5,Very bad health,130
E05011242,Fairlop,-8,Does not apply,0
E05011242,Fairlop,1,Very good health,7618
E05011242,Fairlop,2,Good health,4972
E05011242,Fairlop,3,Fair health,1532
E05011242,Fairlop,4,Bad health,446
E05011242,Fairlop,5,Very bad health,146
E05011243,Fullwell,-8,Does not apply,0
E05011243,Fullwell,1,Very good health,7618
E05011243,Fullwell,2,Good health,5295
E05011243,Fullwell,3,Fair health,1740
E05011243,Fullwell,4,Bad health,580
E05011243,Fullwell,5,Very bad health,175
E05011244,Goodmayes,-8,Does not apply,0
E05011244,Goodmayes,1,Very good health,7686
E05011244,Goodmayes,2,Good health,5323
E05011244,Goodmayes,3,Fair health,1659
E05011244,Goodmayes,4,Bad health,437
E05011244,Goodmayes,5,Very bad health,153
E05011245,Hainault,-8,Does not apply,0
E05011245,Hainault,1,Very good health,7840
E05011245,Hainault,2,Good health,5262
E05011245,Hainault,3,Fair health,1769
E05011245,Hainault,4,Bad health,612
E05011245,Hainault,5,Very bad health,217
E05011246,Ilford Town,-8,Does not apply,0
E05011246,Ilford Town,1,Very good health,6542
E05011246,Ilford Town,2,Good health,4220
E05011246,Ilford Town,3,Fair health,1109
E05011246,Ilford Town,4,Bad health,342
E05011246,Ilford Town,5,Very bad health,115
E05011247,Loxford,-8,Does not apply,0
E05011247,Loxford,1,Very good health,7747
E05011247,Loxford,2,Good health,4939
E05011247,Loxford,3,Fair health,1680
E05011247,Loxford,4,Bad health,549
E05011247,Loxford,5,Very bad health,208
E05011248,Mayfield,-8,Does not apply,0
E05011248,Mayfield,1,Very good health,8272
E05011248,Mayfield,2,Good health,5653
E05011248,Mayfield,3,Fair health,1757
E05011248,Mayfield,4,Bad health,465
E05011248,Mayfield,5,Very bad health,145
E05011249,Monkhams,-8,Does not apply,0
E05011249,Monkhams,1,Very good health,5223
E05011249,Monkhams,2,Good health,3035
E05011249,Monkhams,3,Fair health,894
E05011249,Monkhams,4,Bad health,252
E05011249,Monkhams,5,Very bad health,76
E05011250,Newbury,-8,Does not apply,0
E05011250,Newbury,1,Very good health,7305
E05011250,Newbury,2,Good health,4983
E05011250,Newbury,3,Fair health,1606
E05011250,Newbury,4,Bad health,422
E05011250,Newbury,5,Very bad health,143
E05011251,Seven Kings,-8,Does not apply,0
E05011251,Seven Kings,1,Very good health,7523
E05011251,Seven Kings,2,Good health,5217
E05011251,Seven Kings,3,Fair health,1690
E05011251,Seven Kings,4,Bad health,468
E05011251,Seven Kings,5,Very bad health,148
E05011252,South Woodford,-8,Does not apply,0
E05011252,South Woodford,1,Very good health,6982
E05011252,South Woodford,2,Good health,4251
E05011252,South Woodford,3,Fair health,1173
E05011252,South Woodford,4,Bad health,320
E05011252,South Woodford,5,Very bad health,106
E05011253,Valentines,-8,Does not apply,0
E05011253,Valentines,1,Very good health,7616
E05011253,Valentines,2,Good health,5364
E05011253,Valentines,3,Fair health,1624
E05011253,Valentines,4,Bad health,468
E05011253,Valentines,5,Very bad health,137
E05011254,Wanstead Park,-8,Does not apply,0
E05011254,Wanstead Park,1,Very good health,4337
E05011254,Wanstead Park,2,Good health,2612
E05011254,Wanstead Park,3,Fair health,816
E05011254,Wanstead Park,4,Bad health,227
E05011254,Wanstead Park,5,Very bad health,71
E05011255,Wanstead Village,-8,Does not apply,0
E05011255,Wanstead Village,1,Very good health,6980
E05011255,Wanstead Village,2,Good health,4094
E05011255,Wanstead Village,3,Fair health,1274
E05011255,Wanstead Village,4,Bad health,312
E05011255,Wanstead Village,5,Very bad health,104
E05011462,Addiscombe East,-8,Does not apply,0
E05011462,Addiscombe East,1,Very good health,5675
E05011462,Addiscombe East,2,Good health,4079
E05011462,Addiscombe East,3,Fair health,1226
E05011462,Addiscombe East,4,Bad health,340
E05011462,Addiscombe East,5,Very bad health,144
E05011463,Addiscombe West,-8,Does not apply,0
E05011463,Addiscombe West,1,Very good health,8531
E05011463,Addiscombe West,2,Good health,5410
E05011463,Addiscombe West,3,Fair health,1614
E05011463,Addiscombe West,4,Bad health,501
E05011463,Addiscombe West,5,Very bad health,152
E05011464,Bensham Manor,-8,Does not apply,0
E05011464,Bensham Manor,1,Very good health,8563
E05011464,Bensham Manor,2,Good health,5813
E05011464,Bensham Manor,3,Fair health,1876
E05011464,Bensham Manor,4,Bad health,528
E05011464,Bensham Manor,5,Very bad health,158
E05011465,Broad Green,-8,Does not apply,0
E05011465,Broad Green,1,Very good health,10354
E05011465,Broad Green,2,Good health,6570
E05011465,Broad Green,3,Fair health,2306
E05011465,Broad Green,4,Bad health,733
E05011465,Broad Green,5,Very bad health,258
E05011466,Coulsdon Town,-8,Does not apply,0
E05011466,Coulsdon Town,1,Very good health,8401
E05011466,Coulsdon Town,2,Good health,5039
E05011466,Coulsdon Town,3,Fair health,1485
E05011466,Coulsdon Town,4,Bad health,368
E05011466,Coulsdon Town,5,Very bad health,127
E05011467,Crystal Palace & Upper Norwood,-8,Does not apply,0
E05011467,Crystal Palace & Upper Norwood,1,Very good health,8673
E05011467,Crystal Palace & Upper Norwood,2,Good health,5396
E05011467,Crystal Palace & Upper Norwood,3,Fair health,1720
E05011467,Crystal Palace & Upper Norwood,4,Bad health,450
E05011467,Crystal Palace & Upper Norwood,5,Very bad health,113
E05011468,Fairfield (Croydon),-8,Does not apply,0
E05011468,Fairfield (Croydon),1,Very good health,8540
E05011468,Fairfield (Croydon),2,Good health,4988
E05011468,Fairfield (Croydon),3,Fair health,1352
E05011468,Fairfield (Croydon),4,Bad health,368
E05011468,Fairfield (Croydon),5,Very bad health,94
E05011469,Kenley,-8,Does not apply,0
E05011469,Kenley,1,Very good health,5803
E05011469,Kenley,2,Good health,3618
E05011469,Kenley,3,Fair health,1102
E05011469,Kenley,4,Bad health,319
E05011469,Kenley,5,Very bad health,144
E05011470,New Addington North,-8,Does not apply,0
E05011470,New Addington North,1,Very good health,5355
E05011470,New Addington North,2,Good health,3442
E05011470,New Addington North,3,Fair health,1432
E05011470,New Addington North,4,Bad health,552
E05011470,New Addington North,5,Very bad health,155
E05011471,New Addington South,-8,Does not apply,0
E05011471,New Addington South,1,Very good health,5335
E05011471,New Addington South,2,Good health,3666
E05011471,New Addington South,3,Fair health,1606
E05011471,New Addington South,4,Bad health,558
E05011471,New Addington South,5,Very bad health,163
E05011472,Norbury & Pollards Hill,-8,Does not apply,0
E05011472,Norbury & Pollards Hill,1,Very good health,6236
E05011472,Norbury & Pollards Hill,2,Good health,4045
E05011472,Norbury & Pollards Hill,3,Fair health,1360
E05011472,Norbury & Pollards Hill,4,Bad health,417
E05011472,Norbury & Pollards Hill,5,Very bad health,90
E05011473,Norbury Park,-8,Does not apply,0
E05011473,Norbury Park,1,Very good health,5390
E05011473,Norbury Park,2,Good health,3621
E05011473,Norbury Park,3,Fair health,1296
E05011473,Norbury Park,4,Bad health,373
E05011473,Norbury Park,5,Very bad health,146
E05011474,Old Coulsdon,-8,Does not apply,0
E05011474,Old Coulsdon,1,Very good health,5146
E05011474,Old Coulsdon,2,Good health,3451
E05011474,Old Coulsdon,3,Fair health,1088
E05011474,Old Coulsdon,4,Bad health,328
E05011474,Old Coulsdon,5,Very bad health,94
E05011475,Park Hill & Whitgift,-8,Does not apply,0
E05011475,Park Hill & Whitgift,1,Very good health,2884
E05011475,Park Hill & Whitgift,2,Good health,2030
E05011475,Park Hill & Whitgift,3,Fair health,634
E05011475,Park Hill & Whitgift,4,Bad health,187
E05011475,Park Hill & Whitgift,5,Very bad health,49
E05011476,Purley & Woodcote,-8,Does not apply,0
E05011476,Purley & Woodcote,1,Very good health,8078
E05011476,Purley & Woodcote,2,Good health,4829
E05011476,Purley & Woodcote,3,Fair health,1618
E05011476,Purley & Woodcote,4,Bad health,510
E05011476,Purley & Woodcote,5,Very bad health,149
E05011477,Purley Oaks & Riddlesdown,-8,Does not apply,0
E05011477,Purley Oaks & Riddlesdown,1,Very good health,5129
E05011477,Purley Oaks & Riddlesdown,2,Good health,3341
E05011477,Purley Oaks & Riddlesdown,3,Fair health,933
E05011477,Purley Oaks & Riddlesdown,4,Bad health,239
E05011477,Purley Oaks & Riddlesdown,5,Very bad health,73
E05011478,Sanderstead,-8,Does not apply,0
E05011478,Sanderstead,1,Very good health,8245
E05011478,Sanderstead,2,Good health,5285
E05011478,Sanderstead,3,Fair health,1685
E05011478,Sanderstead,4,Bad health,422
E05011478,Sanderstead,5,Very bad health,137
E05011479,Selhurst,-8,Does not apply,0
E05011479,Selhurst,1,Very good health,6619
E05011479,Selhurst,2,Good health,4250
E05011479,Selhurst,3,Fair health,1648
E05011479,Selhurst,4,Bad health,523
E05011479,Selhurst,5,Very bad health,144
E05011480,Selsdon & Addington Village,-8,Does not apply,0
E05011480,Selsdon & Addington Village,1,Very good health,4754
E05011480,Selsdon & Addington Village,2,Good health,3593
E05011480,Selsdon & Addington Village,3,Fair health,1152
E05011480,Selsdon & Addington Village,4,Bad health,325
E05011480,Selsdon & Addington Village,5,Very bad health,104
E05011481,Selsdon Vale & Forestdale,-8,Does not apply,0
E05011481,Selsdon Vale & Forestdale,1,Very good health,4917
E05011481,Selsdon Vale & Forestdale,2,Good health,3548
E05011481,Selsdon Vale & Forestdale,3,Fair health,1145
E05011481,Selsdon Vale & Forestdale,4,Bad health,313
E05011481,Selsdon Vale & Forestdale,5,Very bad health,89
E05011482,Shirley North,-8,Does not apply,0
E05011482,Shirley North,1,Very good health,7414
E05011482,Shirley North,2,Good health,5281
E05011482,Shirley North,3,Fair health,1929
E05011482,Shirley North,4,Bad health,594
E05011482,Shirley North,5,Very bad health,184
E05011483,Shirley South (Croydon),-8,Does not apply,0
E05011483,Shirley South (Croydon),1,Very good health,5340
E05011483,Shirley South (Croydon),2,Good health,3704
E05011483,Shirley South (Croydon),3,Fair health,1162
E05011483,Shirley South (Croydon),4,Bad health,320
E05011483,Shirley South (Croydon),5,Very bad health,97
E05011484,South Croydon,-8,Does not apply,0
E05011484,South Croydon,1,Very good health,9666
E05011484,South Croydon,2,Good health,6091
E05011484,South Croydon,3,Fair health,1695
E05011484,South Croydon,4,Bad health,470
E05011484,South Croydon,5,Very bad health,142
E05011485,South Norwood,-8,Does not apply,0
E05011485,South Norwood,1,Very good health,8369
E05011485,South Norwood,2,Good health,5416
E05011485,South Norwood,3,Fair health,1946
E05011485,South Norwood,4,Bad health,562
E05011485,South Norwood,5,Very bad health,154
E05011486,Thornton Heath,-8,Does not apply,0
E05011486,Thornton Heath,1,Very good health,9227
E05011486,Thornton Heath,2,Good health,5960
E05011486,Thornton Heath,3,Fair health,2036
E05011486,Thornton Heath,4,Bad health,594
E05011486,Thornton Heath,5,Very bad health,185
E05011487,Waddon,-8,Does not apply,0
E05011487,Waddon,1,Very good health,9441
E05011487,Waddon,2,Good health,6229
E05011487,Waddon,3,Fair health,2212
E05011487,Waddon,4,Bad health,610
E05011487,Waddon,5,Very bad health,192
E05011488,West Thornton,-8,Does not apply,0
E05011488,West Thornton,1,Very good health,9300
E05011488,West Thornton,2,Good health,6414
E05011488,West Thornton,3,Fair health,2219
E05011488,West Thornton,4,Bad health,637
E05011488,West Thornton,5,Very bad health,194
E05011489,Woodside (Croydon),-8,Does not apply,0
E05011489,Woodside (Croydon),1,Very good health,8662
E05011489,Woodside (Croydon),2,Good health,5604
E05011489,Woodside (Croydon),3,Fair health,1850
E05011489,Woodside (Croydon),4,Bad health,591
E05011489,Woodside (Croydon),5,Very bad health,165
E05013496,Alperton,-8,Does not apply,0
E05013496,Alperton,1,Very good health,8047
E05013496,Alperton,2,Good health,4973
E05013496,Alperton,3,Fair health,1547
E05013496,Alperton,4,Bad health,350
E05013496,Alperton,5,Very bad health,139
E05013497,Barnhill,-8,Does not apply,0
E05013497,Barnhill,1,Very good health,5806
E05013497,Barnhill,2,Good health,3804
E05013497,Barnhill,3,Fair health,1286
E05013497,Barnhill,4,Bad health,400
E05013497,Barnhill,5,Very bad health,124
E05013498,Brondesbury Park,-8,Does not apply,0
E05013498,Brondesbury Park,1,Very good health,7262
E05013498,Brondesbury Park,2,Good health,4138
E05013498,Brondesbury Park,3,Fair health,1391
E05013498,Brondesbury Park,4,Bad health,481
E05013498,Brondesbury Park,5,Very bad health,162
E05013499,Cricklewood & Mapesbury,-8,Does not apply,0
E05013499,Cricklewood & Mapesbury,1,Very good health,7620
E05013499,Cricklewood & Mapesbury,2,Good health,4462
E05013499,Cricklewood & Mapesbury,3,Fair health,1479
E05013499,Cricklewood & Mapesbury,4,Bad health,452
E05013499,Cricklewood & Mapesbury,5,Very bad health,138
E05013500,Dollis Hill,-8,Does not apply,0
E05013500,Dollis Hill,1,Very good health,11004
E05013500,Dollis Hill,2,Good health,7321
E05013500,Dollis Hill,3,Fair health,2466
E05013500,Dollis Hill,4,Bad health,816
E05013500,Dollis Hill,5,Very bad health,241
E05013501,Harlesden & Kensal Green,-8,Does not apply,0
E05013501,Harlesden & Kensal Green,1,Very good health,10403
E05013501,Harlesden & Kensal Green,2,Good health,6376
E05013501,Harlesden & Kensal Green,3,Fair health,2297
E05013501,Harlesden & Kensal Green,4,Bad health,743
E05013501,Harlesden & Kensal Green,5,Very bad health,257
E05013502,Kenton (Brent),-8,Does not apply,0
E05013502,Kenton (Brent),1,Very good health,8755
E05013502,Kenton (Brent),2,Good health,6006
E05013502,Kenton (Brent),3,Fair health,2138
E05013502,Kenton (Brent),4,Bad health,571
E05013502,Kenton (Brent),5,Very bad health,216
E05013503,Kilburn (Brent),-8,Does not apply,0
E05013503,Kilburn (Brent),1,Very good health,9479
E05013503,Kilburn (Brent),2,Good health,5085
E05013503,Kilburn (Brent),3,Fair health,1792
E05013503,Kilburn (Brent),4,Bad health,627
E05013503,Kilburn (Brent),5,Very bad health,229
E05013504,Kingsbury (Brent),-8,Does not apply,0
E05013504,Kingsbury (Brent),1,Very good health,5768
E05013504,Kingsbury (Brent),2,Good health,3708
E05013504,Kingsbury (Brent),3,Fair health,1251
E05013504,Kingsbury (Brent),4,Bad health,383
E05013504,Kingsbury (Brent),5,Very bad health,126
E05013505,Northwick Park,-8,Does not apply,0
E05013505,Northwick Park,1,Very good health,6308
E05013505,Northwick Park,2,Good health,4230
E05013505,Northwick Park,3,Fair health,1364
E05013505,Northwick Park,4,Bad health,354
E05013505,Northwick Park,5,Very bad health,111
E05013506,Preston (Brent),-8,Does not apply,0
E05013506,Preston (Brent),1,Very good health,6614
E05013506,Preston (Brent),2,Good health,4290
E05013506,Preston (Brent),3,Fair health,1217
E05013506,Preston (Brent),4,Bad health,400
E05013506,Preston (Brent),5,Very bad health,141
E05013507,Queens Park (Brent),-8,Does not apply,0
E05013507,Queens Park (Brent),1,Very good health,9897
E05013507,Queens Park (Brent),2,Good health,4987
E05013507,Queens Park (Brent),3,Fair health,1607
E05013507,Queens Park (Brent),4,Bad health,500
E05013507,Queens Park (Brent),5,Very bad health,167
E05013508,Queensbury (Brent),-8,Does not apply,0
E05013508,Queensbury (Brent),1,Very good health,8777
E05013508,Queensbury (Brent),2,Good health,5991
E05013508,Queensbury (Brent),3,Fair health,1791
E05013508,Queensbury (Brent),4,Bad health,484
E05013508,Queensbury (Brent),5,Very bad health,146
E05013509,Roundwood,-8,Does not apply,0
E05013509,Roundwood,1,Very good health,8317
E05013509,Roundwood,2,Good health,5412
