Electoral wards and divisions Code,Electoral wards and divisions,General health (6 categories) Code,General health (6 categories),Observation
E05011111,Peckham Rye,5,Very bad health,75
E05011112,Rotherhithe,-8,Does not apply,0
E05011112,Rotherhithe,1,Very good health,8489
E05011112,Rotherhithe,2,Good health,4947
E05011112,Rotherhithe,3,Fair health,1518
E05011112,Rotherhithe,4,Bad health,506
E05011112,Rotherhithe,5,Very bad health,166
E05011113,Rye Lane,-8,Does not apply,0
E05011113,Rye Lane,1,Very good health,8095
E05011113,Rye Lane,2,Good health,4304
E05011113,Rye Lane,3,Fair health,1433
E05011113,Rye Lane,4,Bad health,488
E05011113,Rye Lane,5,Very bad health,151
E05011114,St George's (Southwark),-8,Does not apply,0
E05011114,St George's (Southwark),1,Very good health,4686
E05011114,St George's (Southwark),2,Good health,2633
E05011114,St George's (Southwark),3,Fair health,789
E05011114,St George's (Southwark),4,Bad health,248
E05011114,St George's (Southwark),5,Very bad health,100
E05011115,St Giles,-8,Does not apply,0
E05011115,St Giles,1,Very good health,8818
E05011115,St Giles,2,Good health,4968
E05011115,St Giles,3,Fair health,1571
E05011115,St Giles,4,Bad health,433
E05011115,St Giles,5,Very bad health,156
E05011116,South Bermondsey,-8,Does not apply,0
E05011116,South Bermondsey,1,Very good health,8439
E05011116,South Bermondsey,2,Good health,4974
E05011116,South Bermondsey,3,Fair health,1740
E05011116,South Bermondsey,4,Bad health,596
E05011116,South Bermondsey,5,Very bad health,196
E05011117,Surrey Docks,-8,Does not apply,0
E05011117,Surrey Docks,1,Very good health,7584
E05011117,Surrey Docks,2,Good health,4034
E05011117,Surrey Docks,3,Fair health,1040
E05011117,Surrey Docks,4,Bad health,273
E05011117,Surrey Docks,5,Very bad health,76
E05011217,Barnehurst,-8,Does not apply,0
E05011217,Barnehurst,1,Very good health,5722
E05011217,Barnehurst,2,Good health,4080
E05011217,Barnehurst,3,Fair health,1382
E05011217,Barnehurst,4,Bad health,380
E05011217,Barnehurst,5,Very bad health,115
E05011218,Belvedere,-8,Does not apply,0
E05011218,Belvedere,1,Very good health,8943
E05011218,Belvedere,2,Good health,5897
E05011218,Belvedere,3,Fair health,2070
E05011218,Belvedere,4,Bad health,600
E05011218,Belvedere,5,Very bad health,180
E05011219,Bexleyheath,-8,Does not apply,0
E05011219,Bexleyheath,1,Very good health,7702
E05011219,Bexleyheath,2,Good health,5307
E05011219,Bexleyheath,3,Fair health,1942
E05011219,Bexleyheath,4,Bad health,521
E05011219,Bexleyheath,5,Very bad health,145
E05011220,Blackfen & Lamorbey,-8,Does not apply,0
E05011220,Blackfen & Lamorbey,1,Very good health,8568
E05011220,Blackfen & Lamorbey,2,Good health,5630
E05011220,Blackfen & Lamorbey,3,Fair health,1863
E05011220,Blackfen & Lamorbey,4,Bad health,487
E05011220,Blackfen & Lamorbey,5,Very bad health,178
E05011221,Blendon & Penhill,-8,Does not apply,0
E05011221,Blendon & Penhill,1,Very good health,8136
E05011221,Blendon & Penhill,2,Good health,5287
E05011221,Blendon & Penhill,3,Fair health,1617
E05011221,Blendon & Penhill,4,Bad health,463
E05011221,Blendon & Penhill,5,Very bad health,130
E05011222,Crayford,-8,Does not apply,0
E05011222,Crayford,1,Very good health,7895
E05011222,Crayford,2,Good health,5566
E05011222,Crayford,3,Fair health,1985
E05011222,Crayford,4,Bad health,630
E05011222,Crayford,5,Very bad health,205
E05011223,Crook Log,-8,Does not apply,0
E05011223,Crook Log,1,Very good health,7671
E05011223,Crook Log,2,Good health,5273
E05011223,Crook Log,3,Fair health,1710
E05011223,Crook Log,4,Bad health,449
E05011223,Crook Log,5,Very bad health,156
E05011224,East Wickham,-8,Does not apply,0
E05011224,East Wickham,1,Very good health,7726
E05011224,East Wickham,2,Good health,5478
E05011224,East Wickham,3,Fair health,1999
E05011224,East Wickham,4,Bad health,527
E05011224,East Wickham,5,Very bad health,183
E05011225,Erith,-8,Does not apply,0
E05011225,Erith,1,Very good health,7013
E05011225,Erith,2,Good health,4106
E05011225,Erith,3,Fair health,1429
E05011225,Erith,4,Bad health,423
E05011225,Erith,5,Very bad health,131
E05011226,Falconwood & Welling,-8,Does not apply,0
E05011226,Falconwood & Welling,1,Very good health,8566
E05011226,Falconwood & Welling,2,Good health,5775
E05011226,Falconwood & Welling,3,Fair health,1677
E05011226,Falconwood & Welling,4,Bad health,455
E05011226,Falconwood & Welling,5,Very bad health,102
E05011227,Longlands,-8,Does not apply,0
E05011227,Longlands,1,Very good health,5183
E05011227,Longlands,2,Good health,3271
E05011227,Longlands,3,Fair health,1162
E05011227,Longlands,4,Bad health,344
E05011227,Longlands,5,Very bad health,118
E05011228,Northumberland Heath,-8,Does not apply,0
E05011228,Northumberland Heath,1,Very good health,5489
